City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,283.23,62,98,1.77,CL,1685956034
1,tasiilaq,65.6145,-37.6368,274.24,90,100,0.74,GL,1685956035
2,dikson,73.5069,80.5464,274.55,76,42,3.02,RU,1685956035
3,hithadhoo,-0.6,73.0833,301.45,71,100,1.5,MV,1685956035
4,takoradi,4.8845,-1.7554,300.01,83,100,2.7,GH,1685956035
5,jamestown,42.097,-79.2353,282.95,69,0,2.57,US,1685956035
6,punta arenas,-53.15,-70.9167,277.21,87,100,7.2,CL,1685956036
7,mataura,-46.1927,168.8643,278.8,93,82,0.42,NZ,1685956036
8,mozarlandia,-14.7447,-50.5706,293.35,51,5,2.21,BR,1685956036
9,chokurdakh,70.6333,147.9167,279.31,40,0,7.6,RU,1685956037
10,fortuna,40.5982,-124.1573,283.34,95,0,3.09,US,1685955912
11,airai,-8.9266,125.4092,290.83,74,77,0.87,TL,1685956037
12,hilo,19.7297,-155.09,294.4,91,0,2.24,US,1685956037
13,hobart,-42.8794,147.3294,284.07,81,75,3.09,AU,1685955788
14,vaini,-21.2,-175.2,293.24,88,20,2.57,TO,1685956038
15,havoysund,70.9963,24.6622,279.28,78,95,3.25,NO,1685956038
16,deputatskiy,69.3,139.9,285.75,45,60,5.63,RU,1685956038
17,tiarei,-17.5333,-149.3333,297.16,69,33,5.4,PF,1685956039
18,nelson bay,-32.7167,152.15,290.93,85,93,7.15,AU,1685956039
19,lavrentiya,65.5833,-171.0,273.05,98,84,1.01,RU,1685956039
20,qaanaaq,77.484,-69.3632,268.19,76,4,2.08,GL,1685956039
21,upernavik,72.7868,-56.1549,268.55,89,92,0.75,GL,1685956040
22,busselton,-33.65,115.3333,284.05,76,100,5.11,AU,1685955769
23,falmouth,50.1544,-5.0711,291.65,75,0,8.23,GB,1685956040
24,castro,-24.7911,-50.0119,283.3,82,16,0.58,BR,1685956040
25,kaitangata,-46.2817,169.8464,280.9,85,100,1.03,NZ,1685956040
26,muros,42.7762,-9.0603,291.89,82,64,0.27,ES,1685956041
27,kampene,-3.6,26.6667,299.22,70,100,1.76,CD,1685956041
28,tyrma,50.0833,132.1667,290.13,63,93,0.95,RU,1685956041
29,mar del plata,-38.0023,-57.5575,280.42,69,36,1.79,AR,1685956042
30,albany,42.6001,-73.9662,283.74,86,61,0.45,US,1685956042
31,zhigansk,66.7697,123.3711,287.15,59,77,5.3,RU,1685956042
